1002,1,2,19.9693
2003,2,3,14.7721
3004,3,4,11.5137
3005,3,5,12.2251
4005,4,5,12.5351
5006,5,6,8.6259
6007,6,7,13.0316
7008,7,8,15.6567
7009,7,9,45.7328
9010,9,10,38.3707
10011,10,11,6.3913
10012,10,12,16.1697
11012,11,12,9.8273
12013,12,13,23.5482
12014,12,14,19.2819
12015,12,15,30.6678
12016,12,16,41.7191
12017,12,17,21.7504
12018,12,18,26.1998
17018,17,18,5.9902
17019,17,19,10.2046
18019,18,19,12.8357
19020,19,20,30.8017
20021,20,21,11.3755
20022,20,22,14.3577
20023,20,23,58.692
21023,21,23,50.0809
22023,22,23,50.7649
23024,23,24,8.7133
23025,23,25,18.5402
23026,23,26,22.936
23027,23,27,46.3155
27028,27,28,42.3396
27029,27,29,40.3053
27137,27,137,39.791
28029,28,29,5.1577
28030,28,30,22.3321
28031,28,31,23.1906
28035,28,35,31.5128
28036,28,36,22.8022
28137,28,137,4.6125
30031,30,31,5.6723
30032,30,32,29.5598
30033,30,33,29.3053
30123,30,123,31.2912
31033,31,33,23.6534
31123,31,123,34.9274
32033,32,33,6.138
32037,32,37,23.7811
33034,33,34,5.7671
33035,33,35,11.6458
33037,33,37,22.0882
34035,34,35,11.3233
34037,34,37,16.361
35036,35,36,11.8654
35038,35,38,31.3507
35039,35,39,33.7955
37038,37,38,16.8516
37039,37,39,16.221
37052,37,52,88.8227
38039,38,39,4.5398
38040,38,40,34.8338
38041,38,41,38.3964
40041,40,41,4.7152
41042,40,42,17.8959
41043,41,43,35.4855
41044,41,44,36.5566
42044,42,44,19.7159
43048,43,48,33.4996
43052,43,52,53.829
44045,44,45,35.1326
44048,44,48,36.9218
44051,44,51,34.3331
44052,44,52,49.1359
45046,45,46,8.7745
45048,45,48,5.8996
46047,46,47,4.4694
46048,46,48,13.2323
47048,47,48,17.5616
48049,48,49,24.93
49050,49,50,4.9547
51052,51,52,15.6147
52053,52,53,34.6684
52054,52,54,47.0045
53054,53,54,13.2957
54055,54,55,21.546
54056,54,56,26.5142
54057,54,57,26.5306
54124,54,124,35.7512
54125,54,125,32.2519
55057,55,57,6.9266
56057,56,57,4.1571
57058,57,58,17.8123
57059,57,59,43.2327
57060,57,60,47.9046
57061,57,61,51.1754
57079,57,79,56.9089
57080,57,80,48.4269
58061,58,61,38.2927
59061,59,61,20.3636
60061,60,61,19.7403
61062,61,62,46.8409
61063,61,63,48.3445
61064,61,64,18.2005
61065,61,65,25.7538
62063,62,63,4.3836
64065,64,65,9.1994
65066,65,66,6.316
65067,65,67,35.708
65068,65,68,45.0243
65074,65,74,18.8867
66068,66,68,40.9511
66074,66,74,15.0814
67068,67,68,10.4133
68069,68,69,34.2697
69070,69,70,30.0746
69071,69,71,52.4391
71072,71,72,53.8429
73074,73,74,7.9702
74075,74,75,15.5265
74076,74,76,35.0212
76077,76,77,14.1407
76078,76,78,18.2497
76079,76,79,14.3346
77078,77,78,4.114
79080,79,80,9.8036
79081,79,81,70.2335
81082,81,82,21.3529
81083,81,83,23.2441
81084,81,84,15.0008
82083,82,83,4.8193
84085,84,85,8.5002
84086,84,86,5.3238
84087,84,87,9.3313
84088,84,88,9.0154
85087,85,87,12.6105
85088,85,88,8.9211
85135,85,135,77.6116
86087,86,87,4.7395
87088,87,88,4.5631
87089,87,89,5.9452
89090,89,90,29.187
89091,89,91,30.1033
91092,91,92,15.4373
91093,91,93,20.0188
91094,91,94,21.8994
91095,91,95,43.3475
92094,92,94,7.9362
93094,93,94,4.7437
95096,95,96,18.6973
95097,95,97,26.6565
95098,95,98,44.2431
95099,95,99,53.1923
96099,96,99,42.5345
97099,97,99,35.48
98099,98,99,27.8642
99100,99,100,60.5879
99135,99,135,49.9298
99136,99,136,42.2337
100101,100,101,5.9054
100102,100,102,10.7708
100109,100,109,15.4779
101102,101,102,7.2964
102103,102,103,31.2282
102106,102,106,14.5059
102107,102,107,7.5937
103104,103,104,14.7081
104105,104,105,5.6009
104106,104,106,31.7151
105106,105,106,27.9875
106107,106,107,9.0034
106108,106,108,7.12
106109,106,109,10.4867
108109,108,109,5.553
109110,109,110,53.6552
110111,110,111,5.8954
110112,110,112,4.9732
110118,110,118,35.2437
111112,111,112,4.2826
111113,111,113,47.8705
112113,112,113,46.9803
112114,112,114,51.0232
112115,112,115,16.6419
112116,112,116,37.2423
112117,112,117,33.8485
113114,113,114,4.2546
115117,115,117,17.4606
116117,116,117,5.0995
116121,116,121,29.9645
117118,117,118,8.437
117119,117,119,30.0214
117120,117,120,37.6279
117121,117,121,33.9582
118122,118,122,32.3176
119121,119,121,4.5104
120121,120,121,5.9737
122123,122,123,56.7122
124125,124,125,5.999
124126,124,126,57.8568
124132,124,132,28.5074
125126,125,126,54.2291
126127,126,127,31.9874
126128,126,128,36.4652
126129,126,129,40.2423
127129,127,129,9.9797
128129,128,129,6.0774
132133,132,133,17.4885
132134,132,134,5.9799
132135,132,135,21.9232
133134,133,134,14.665
134135,134,135,17.8474
135136,135,136,9.2403
